Key (do not touch),Default,Translation
INVALID_TR,%%this should not be displayed%%,%%this should not be displayed%%
ABOUT,About,Über
LATEST_RELEASE,Latest release,Neuste Version
OFS_LOG_OUTPUT,OFS Log Output,OFS Log Output
ADD_EDIT_ACTIONS,Add/Edit actions,Aktionen einfügen / editieren
ADD_EDIT_ACTION,Add/Edit action,Aktion einfügen / editieren
ADD_ACTION,Add action,Aktion einfügen
REMOVE_ACTIONS,Remove actions,Aktionen entfernen
REMOVE_ACTION,Remove action,Aktion entfernen
MOUSE_MOVED_ACTIONS,Mouse moved actions,Mit der Maus bewegte Aktionen
ACTIONS_MOVED,Actions moved,Aktionen bewegt
CUT_SELECTION,Cut selection,Auswahl ausschneiden
REMOVE_SELECTION,Remove selection,Auswahl entfernen
PASTE_SELECTION,Paste selection,Auswahl einfügen
EQUALIZE,Equalize,Angleichen
INVERT,Invert,Invertieren
ISOLATE,Isolate,Isolieren
TOP_POINTS,Top points,Obere Punkte
MID_POINTS,Mid points,Mittlere Punkte
BOTTOM_POINTS,Bottom points,Untere Punkte
GENERATE_ACTIONS,Generate actions,Erzeuge Aktion
FRAME_ALIGN,Frame align,Frame angleichen
RANGE_EXTEND,Range extend,Reichweite erhöhen
REPEAT_STROKE,Repeat stroke,Wiederhole stroke
MOVE_TO_CURRENT_POSITION,Move to current position,Bewege zur aktuellen Position
SIMPLIFY,Simplify,Vereinfachen
LUA_SCRIPT,Lua script,Lua script
REDO_STACK,Redo stack,Stapel wiederherstellen
UNDO_STACK,Undo stack,Stapel rückgängig machen
UNDO_REDO_HISTORY,Undo/Redo history,Rückgängig/Wiederherstellen Verlauf
T_CODE,T-Code,T-Code
PORT,Port,Port
OPEN_PORT,Open port,Öffne Port
LIMITS,Limits,Limits
LINEAR_LIMITS,Linear limits,Lineare Limits
ROTATION_LIMITS,Rotation limits,Rotations Limits
VIBRATION_LIMITS,Vibration limits,Vibrations Limits
GLOBAL_SETTINGS,Global settings,Globale Einstellungen
DELAY,Delay,Verzögerung
CONTROLLER_BUTTON_A,A / X,A / X
CONTROLLER_BUTTON_B,B / Circle,B / Kreis
CONTROLLER_BUTTON_X,X / Square,X / Viereck
CONTROLLER_BUTTON_Y,Y / Triangle,Y / Dreieck
CONTROLLER_BUTTON_BACK,Back / Share,Zurück / Teilen
CONTROLLER_BUTTON_GUIDE,Guide,Anleitung
CONTROLLER_BUTTON_START,Start,Start
CONTROLLER_BUTTON_LEFTSTICK,Leftstick,Linker Stick
CONTROLLER_BUTTON_RIGHTSTICK,Rightstick,Rechter Stick
CONTROLLER_BUTTON_LEFTSHOULDER,Leftshoulder,Linke Schultertaste
CONTROLLER_BUTTON_RIGHTSHOULDER,Rightshoulder,Rechte Schultertaste
CONTROLLER_BUTTON_DPAD_UP,DPAD Up,DPAD oben
CONTROLLER_BUTTON_DPAD_DOWN,DPAD Down,DPAD unten
CONTROLLER_BUTTON_DPAD_LEFT,DPAD Left,DPAD links
CONTROLLER_BUTTON_DPAD_RIGHT,DPAD Right,DPAD rechts
CONTROLLER_NOT_SET,- Not set -,- Nicht gesetzt -
KEY_MOD_CTRL,Ctrl,Strg
KEY_MOD_ALT,Alt,Alt
KEY_MOD_SHIFT,Shift,Shift
KEY_ALREADY_IN_USE,Key is in use,Taste ist bereits in Benutzung
KEY_ALREADY_IN_USE_MSG,Key already bound for [%s],Taste bereits belegt für [%s]
BUTTON_ALREADY_IN_USE,Button is in use,Taste ist bereits in Benutzung
BUTTON_ALREADY_IN_USE_MSG,Button already bound for [%s],Taste bereits belegt für [%s]
DESCRIPTION,Description,Beschreibung
KEYBOARD,Keyboard,Tastatur
ACTIVE,Active,Aktiv
KEY_NOT_SET,- Not set -,- Nicht gesetzt -
CHANGE_KEY,Change key,Ändere Taste
CHANGE_KEY_MSG,"Press any key...
Escape to clear.","Drücke eine Taste...
Escape zum Löschen."
PASSIVE_BINDING_TXT1,Here modifiers can be configured which change certain behaviour.,"Hier können Modifikatoren konfiguriert werden, die bestimmte Verhalten ändern."
PASSIVE_BINDING_TXT2,"You can only use Shift, Ctrl & Alt.","Du kannst nur Shift, Strg & Alt benutzen."
KEYS,Keys,Tasten
BINDINGS,Bindings,Tastenzuweisungen
BINDING_TXT1,"You can use CTRL, SHIFT & ALT as modifiers.","Du kannst STRG, SHIFT & ALT als Modifizierer benutzen."
BINDING_TXT2,Only controller buttons can be bound. The DPAD directions count as a buttons.,Nur Controller Tasten können gesetzt werden. Die DPAD Richtungen fungieren als Tasten.
BINDING_TXT3,The configuration gets saved everytime a change is made.,"Änderungen werden gespeichert, sobald eine Änderung durchgeführt wird."
BINDING_TXT4,"If you wan't to revert to the defaults, you'll have to delete the config.","Wenn die zu den Standarteinstellungen zurückkehren möchtest, musst du die Config löschen."
FILTER,Filter,Filter
MODIFIERS,Modifiers,Modifizierer
ACTION,Action,Aktion
CONTROLLER,Controller,Controller
IGNORE_REPEATS,Ignore repeats,Ignoriere Wiederholungen
CHANGE_BUTTON,Change button,Ändere Taste
CHANGE_BUTTON_MSG,"Press any button...
Escape to clear.","Drücke eine Taste...
Escape zum Löschen."
RUNNING_TASK,Running task,Laufender Prozess
THIS_MAY_TAKE_A_WHILE,This may take a while...,Das könnte eine Zeit dauern...
OPTIONS,Options,Optionen
AUTO_SCROLL,Auto-scroll,Auto-scroll
CLEAR,Clear,Beseitigen
COPY,Copy,Kopiere
USED,Used,Benutzt
ALLOCATED,Allocated,Zugewiesen
SCRIPTS,Scripts,Scripts
RENDERING,Rendering,Rendering
SHOW_ACTIONS,Show actions,Zeige Aktionen
SPLINE_MODE,Spline mode,Kurven-Modus
SHOW_VIDEO_POSITION,Show video position,Zeige Videopostition
WAVEFORM,Waveform,Waveform
SETTINGS,Settings,Einstellungen
SCALE,Scale,Skalierung
COLOR,Color,Farbe
ENABLE_WAVEFORM,Enable waveform,Aktiviere Waveform
MIN_INT_FMT,Min: %d,Min: %d
MAX_INT_FMT,Max: %d,Max: %d
TCODE_TICKRATE,Tickrate (Hz),Tickrate (Hz)
SPLINE,Spline,Kurve
SPLINE_TOOLTIP,Smooth motion instead of linear.,"Weiche Bewegung, statt linearer."
REMAP,Remap,Neu belegen
REMAP_TOOLTIP,"Remap script to use the full range.
i.e. scripts using the range 10 to 90 become 0 to 100.","Remap Script, damit es die volle Reichweite benutzt.
Z.b. Scripts, die die Reichweite 10 bis 90 benutzen, werden zu 0 bis100."
DELAY_TOOLTIP,"Negative: Backward in time.
Positive: Forward in time.","Negativ: Zurück in der Zeit.
Postiv: Vorwärts in der Zeit."
OUTPUTS,Outputs,Ausgaben
YOU_CAN_RIGHT_CLICK_SLIDERS_TOOLTIP,You can right click sliders.,Du kannst die Slider rechtsklicken.
REBALANCE,Rebalance,Rebalance
REBALANCE_TOOLTIP,Balance around 500 even with unevenly spread limits.,"Balance um 500, selbst mit ungleichen Breite-Limits."
GAMEPAD_ONLY,only,nur
SHOW_VIDEO_POSITION_TOOLTIP,"(Frame overlay only)
Shows a red line where the current frame is.
More of a debugging feature.","(Nur Frame Overlay)
Zeigt eine Rote Linie, wo sich der aktuelle Frame befindet.
Eher ein debugging Feature."
PROCESSING_AUDIO,Processing audio...,Verarbeite Audio...
UPDATE_WAVEFORM,Update waveform,Aktualisiere Waveform
POSITIONS,Positions,Positionen
LOOP_A_SET,Loop A set,Schleife bei A setzen (Loop-Modus)
