Key (do not touch),Default,Translation
INVALID_TR,%%this should not be displayed%%,%%this should not be displayed%%
ABOUT,About,About
LATEST_RELEASE,Latest release,Latest release
OFS_LOG_OUTPUT,OFS Log Output,OFS Log Output
ADD_EDIT_ACTIONS,Add/Edit actions,Add/Edit actions
ADD_EDIT_ACTION,Add/Edit action,Add/Edit action
ADD_ACTION,Add action,Add action
REMOVE_ACTIONS,Remove actions,Remove actions
REMOVE_ACTION,Remove action,Remove action
MOUSE_MOVED_ACTIONS,Mouse moved actions,Mouse moved actions
ACTIONS_MOVED,Actions moved,Actions moved
CUT_SELECTION,Cut selection,Cut selection
REMOVE_SELECTION,Remove selection,Remove selection
PASTE_SELECTION,Paste selection,Paste selection
EQUALIZE,Equalize,Equalize
INVERT,Invert,Invert
ISOLATE,Isolate,Isolate
TOP_POINTS,Top points,Top points
MID_POINTS,Mid points,Mid points
BOTTOM_POINTS,Bottom points,Bottom points
GENERATE_ACTIONS,Generate actions,Generate actions
FRAME_ALIGN,Frame align,Frame align
RANGE_EXTEND,Range extend,Range extend
REPEAT_STROKE,Repeat stroke,Repeat stroke
MOVE_TO_CURRENT_POSITION,Move to current position,Move to current position
SIMPLIFY,Simplify,Simplify
LUA_SCRIPT,Lua script,Lua script
REDO_STACK,Redo stack,Redo stack
UNDO_STACK,Undo stack,Undo stack
UNDO_REDO_HISTORY,Undo/Redo history,Undo/Redo history
T_CODE,T-Code,T-Code
PORT,Port,Port
OPEN_PORT,Open port,Open port
LIMITS,Limits,Limits
LINEAR_LIMITS,Linear limits,Linear limits
ROTATION_LIMITS,Rotation limits,Rotation limits
VIBRATION_LIMITS,Vibration limits,Vibration limits
GLOBAL_SETTINGS,Global settings,Global settings
DELAY,Delay,Delay
CONTROLLER_BUTTON_A,A / X,A / X
CONTROLLER_BUTTON_B,B / Circle,B / Circle
CONTROLLER_BUTTON_X,X / Square,X / Square
CONTROLLER_BUTTON_Y,Y / Triangle,Y / Triangle
CONTROLLER_BUTTON_BACK,Back / Share,Back / Share
CONTROLLER_BUTTON_GUIDE,Guide,Guide
CONTROLLER_BUTTON_START,Start,Start
CONTROLLER_BUTTON_LEFTSTICK,Leftstick,Leftstick
CONTROLLER_BUTTON_RIGHTSTICK,Rightstick,Rightstick
CONTROLLER_BUTTON_LEFTSHOULDER,Leftshoulder,Leftshoulder
CONTROLLER_BUTTON_RIGHTSHOULDER,Rightshoulder,Rightshoulder
CONTROLLER_BUTTON_DPAD_UP,DPAD Up,DPAD Up
CONTROLLER_BUTTON_DPAD_DOWN,DPAD Down,DPAD Down
CONTROLLER_BUTTON_DPAD_LEFT,DPAD Left,DPAD Left
CONTROLLER_BUTTON_DPAD_RIGHT,DPAD Right,DPAD Right
CONTROLLER_NOT_SET,- Not set -,- Not set -
KEY_MOD_CTRL,Ctrl,Ctrl
KEY_MOD_ALT,Alt,Alt
KEY_MOD_SHIFT,Shift,Shift
KEY_ALREADY_IN_USE,Key is in use,Key is in use
KEY_ALREADY_IN_USE_MSG,Key already bound for [%s],Key already bound for [%s]
BUTTON_ALREADY_IN_USE,Button is in use,Button is in use
BUTTON_ALREADY_IN_USE_MSG,Button already bound for [%s],Button already bound for [%s]
DESCRIPTION,Description,Description
KEYBOARD,Keyboard,Keyboard
ACTIVE,Active,Active
KEY_NOT_SET,- Not set -,- Not set -
CHANGE_KEY,Change key,Change key
CHANGE_KEY_MSG,"Press any key...
Escape to clear.","Press any key...
Escape to clear."
PASSIVE_BINDING_TXT1,Here modifiers can be configured which change certain behaviour.,Here modifiers can be configured which change certain behaviour.
PASSIVE_BINDING_TXT2,"You can only use Shift, Ctrl & Alt.","You can only use Shift, Ctrl & Alt."
KEYS,Keys,Keys
BINDINGS,Bindings,Bindings
BINDING_TXT1,"You can use CTRL, SHIFT & ALT as modifiers.","You can use CTRL, SHIFT & ALT as modifiers."
BINDING_TXT2,Only controller buttons can be bound. The DPAD directions count as a buttons.,Only controller buttons can be bound. The DPAD directions count as a buttons.
BINDING_TXT3,The configuration gets saved everytime a change is made.,The configuration gets saved everytime a change is made.
BINDING_TXT4,"If you wan't to revert to the defaults, you'll have to delete the config.","If you wan't to revert to the defaults, you'll have to delete the config."
FILTER,Filter,Filter
MODIFIERS,Modifiers,Modifiers
ACTION,Action,Action
CONTROLLER,Controller,Controller
IGNORE_REPEATS,Ignore repeats,Ignore repeats
CHANGE_BUTTON,Change button,Change button
CHANGE_BUTTON_MSG,"Press any button...
Escape to clear.","Press any button...
Escape to clear."
RUNNING_TASK,Running task,Running task
THIS_MAY_TAKE_A_WHILE,This may take a while...,This may take a while...
OPTIONS,Options,Options
AUTO_SCROLL,Auto-scroll,Auto-scroll
CLEAR,Clear,Clear
COPY,Copy,Copy
USED,Used,Used
ALLOCATED,Allocated,Allocated
SCRIPTS,Scripts,Scripts
RENDERING,Rendering,Rendering
SHOW_ACTIONS,Show actions,Show actions
SPLINE_MODE,Spline mode,Spline mode
SHOW_VIDEO_POSITION,Show video position,Show video position
WAVEFORM,Waveform,Waveform
SETTINGS,Settings,Settings
SCALE,Scale,Scale
COLOR,Color,Color
ENABLE_WAVEFORM,Enable waveform,Enable waveform
MIN_INT_FMT,Min: %d,Min: %d
MAX_INT_FMT,Max: %d,Max: %d
TCODE_TICKRATE,Tickrate (Hz),Tickrate (Hz)
SPLINE,Spline,Spline
SPLINE_TOOLTIP,Smooth motion instead of linear.,Smooth motion instead of linear.
REMAP,Remap,Remap
REMAP_TOOLTIP,"Remap script to use the full range.
i.e. scripts using the range 10 to 90 become 0 to 100.","Remap script to use the full range.
i.e. scripts using the range 10 to 90 become 0 to 100."
DELAY_TOOLTIP,"Negative: Backward in time.
Positive: Forward in time.","Negative: Backward in time.
Positive: Forward in time."
OUTPUTS,Outputs,Outputs
YOU_CAN_RIGHT_CLICK_SLIDERS_TOOLTIP,You can right click sliders.,You can right click sliders.
REBALANCE,Rebalance,Rebalance
REBALANCE_TOOLTIP,Balance around 500 even with unevenly spread limits.,Balance around 500 even with unevenly spread limits.
GAMEPAD_ONLY,only,only
SHOW_VIDEO_POSITION_TOOLTIP,"(Frame overlay only)
Shows a red line where the current frame is.
More of a debugging feature.","(Frame overlay only)
Shows a red line where the current frame is.
More of a debugging feature."
PROCESSING_AUDIO,Processing audio...,Processing audio...
UPDATE_WAVEFORM,Update waveform,Update waveform
POSITIONS,Positions,Positions
LOOP_A_SET,Loop A set,Loop A set
LOOP_B_SET,Loop B set,Loop B set
LOCK,Lock,Lock
CLICK_TO_ENABLE_VIDEO,Click to enable video,Click to enable video
LOOP_CLEARED,Loop cleared,Loop cleared
VIDEOPLAYER,Player,Player
SPEED,Speed,Speed
TIMELINE,Timeline,Timeline
TIME,Time,Time
CONTROLS,Controls,Controls
TIMELINE_SECONDS,seconds,seconds
TASK_EXPORTING_CLIPS,Exporting clips,Exporting clips
PROJECT,Project,Project
MEDIA,Media,Media
CHANGE_DEFAULT_LOCATION,Change default location,Change default location
CHANGE_LOCATION,Change location,Change location
SCRIPTING_MODE,Scripting mode,Scripting mode
DEFAULT_MODE,Default,Default
ALTERNATING_MODE,Alternating,Alternating
DYNAMIC_INJECTION_MODE,Dynamic injection,Dynamic injection
RECORDING_MODE,Recording,Recording
SCRIPTING_OVERLAY,Scripting overlay,Scripting overlay
FRAME_OVERLAY,Frame,Frame
TEMPO_OVERLAY,Tempo,Tempo
